Function,Class,chunks0,chunks1,chunks2,chunks3,chunks4,ct,cube
2007463783,1,2,3,3,2,2,12,13
11493216,1,2,4,5,3,2,12,8
1829703936,1,2,4,4,3,2,13,14
825306913,1,2,3,4,3,2,11,6
1358264314,1,2,3,4,3,2,12,13
1204302779,1,2,4,5,3,2,10,13
4143906574,1,2,4,4,3,2,11,9
822064437,1,2,3,4,3,2,10,7
4258585820,1,2,3,3,3,2,13,10
796854798,1,2,3,4,3,2,10,6
4286582561,1,2,4,5,3,2,12,7
820749733,1,2,4,5,3,2,12,9
976411391,1,2,4,5,4,2,13,8
4294902202,1,2,2,3,3,2,8,5
85258465,1,2,3,3,2,2,15,16
699384591,1,2,4,4,3,2,15,10
3253897352,1,2,4,5,3,2,11,8
1846343168,0,2,3,4,3,2,13,16
587158680,1,2,3,5,3,2,12,8
3368582384,1,2,4,4,3,2,11,9
3125084927,1,2,3,3,3,2,13,8
1156845855,0,2,3,3,3,2,14,14
2867873520,1,2,4,3,3,2,9,6
2685072179,1,2,3,4,3,2,9,6
4023027848,1,2,3,4,3,2,10,9
809044275,1,2,3,3,3,2,15,8
1427459263,1,2,3,4,3,2,12,12
2574057226,0,2,4,4,3,2,14,10
3284938018,0,2,4,2,2,2,15,10
